iter	Passed	Remaining
0	3	388
1	5	276
2	7	230
3	8	201
4	10	190
5	11	182
6	13	174
7	14	169
8	16	167
9	19	178
10	21	173
11	23	168
12	24	163
13	26	159
14	27	155
15	29	156
16	34	170
17	36	167
18	38	163
19	40	163
20	42	161
21	44	157
22	46	154
23	50	159
24	51	155
25	53	152
26	55	148
27	57	147
28	58	143
29	60	140
30	63	140
31	64	137
32	66	134
33	67	131
34	69	128
35	70	125
36	72	122
37	73	120
38	75	117
39	78	117
40	80	115
41	80	111
42	82	109
43	83	106
44	85	104
45	86	102
46	88	99
47	89	97
48	92	96
49	94	94
50	95	92
51	97	90
52	99	88
53	100	85
54	101	83
55	103	81
56	104	79
57	108	78
58	111	77
59	112	75
60	114	73
61	115	70
62	117	68
63	118	66
64	119	64
65	123	63
66	125	61
67	126	59
68	127	57
69	129	55
70	130	53
71	132	51
72	133	49
73	135	47
74	140	46
75	141	44
76	142	42
77	144	40
78	145	38
79	147	36
80	148	34
81	150	32
82	153	31
83	155	29
84	156	27
85	158	25
86	159	23
87	161	22
88	162	20
89	164	18
90	165	16
91	170	14
92	174	13
93	175	11
94	179	9
95	184	7
96	185	5
97	187	3
98	188	1
99	190	0
