iter	Passed	Remaining
0	168	168785
1	171	85423
2	173	57757
3	175	43801
4	177	35416
5	180	29899
6	188	26784
7	191	23690
8	194	21440
9	196	19490
10	198	17869
11	201	16626
12	204	15535
13	206	14573
14	209	13749
15	211	13005
16	213	12340
17	215	11740
18	217	11251
19	221	10846
20	223	10422
21	225	10030
22	227	9658
23	231	9411
24	233	9093
25	234	8800
26	236	8530
27	238	8289
28	240	8063
29	242	7848
30	247	7738
31	249	7547
32	251	7360
33	254	7241
34	298	8217
35	300	8041
36	302	7868
37	304	7707
38	306	7551
39	308	7400
40	312	7317
41	314	7181
42	316	7050
43	318	6923
44	320	6803
45	322	6692
46	327	6636
47	329	6531
48	332	6452
49	356	6771
50	361	6721
51	363	6630
52	365	6534
53	367	6441
54	369	6350
55	371	6265
56	375	6217
57	378	6146
58	380	6072
59	383	6000
60	385	5930
61	387	5861
62	392	5838
63	395	5780
64	397	5717
65	400	5661
66	405	5647
67	408	5597
68	411	5546
69	413	5497
70	417	5459
71	422	5439
72	424	5391
73	429	5371
74	445	5489
75	447	5441
76	449	5393
77	453	5358
78	455	5311
79	457	5266
80	460	5219
81	462	5182
82	464	5135
83	467	5095
84	469	5059
85	472	5018
86	477	5007
87	479	4971
88	482	4936
89	484	4902
90	487	4868
91	492	4860
92	494	4824
93	496	4789
94	499	4762
95	512	4829
96	540	5035
97	611	5630
98	614	5590
99	624	5622
100	630	5615
101	637	5608
102	693	6039
103	706	6086
104	713	6080
105	757	6392
106	761	6353
107	763	6307
108	768	6278
109	770	6237
110	773	6197
111	777	6163
112	782	6141
113	784	6097
114	787	6056
115	789	6016
116	791	5970
117	813	6083
118	817	6049
119	819	6011
120	824	5992
121	829	5968
122	831	5930
123	833	5890
124	836	5855
125	838	5819
126	843	5800
127	847	5774
128	854	5772
129	894	5984
130	897	5951
131	900	5919
132	903	5892
133	910	5887
134	914	5858
135	918	5834
136	925	5831
137	929	5802
138	931	5769
139	982	6033
140	984	5999
141	988	5973
142	990	5937
143	995	5915
144	999	5894
145	1007	5893
146	1010	5864
147	1012	5830
148	1018	5817
149	1021	5786
150	1023	5753
151	1040	5807
152	1043	5777
153	1049	5763
154	1051	5732
155	1053	5700
156	1056	5674
157	1060	5651
158	1063	5624
159	1067	5603
160	1080	5630
161	1083	5602
162	1085	5572
163	1101	5613
164	1105	5596
165	1110	5581
166	1113	5555
167	1116	5531
168	1121	5515
169	1124	5487
170	1126	5460
171	1128	5432
172	1130	5405
173	1135	5390
174	1137	5364
175	1140	5338
176	1142	5312
177	1145	5288
178	1147	5262
179	1153	5254
180	1155	5230
181	1163	5228
182	1175	5247
183	1177	5222
184	1185	5223
185	1187	5198
186	1190	5173
187	1192	5149
188	1194	5125
189	1199	5113
190	1204	5101
191	1207	5080
192	1217	5090
193	1219	5068
194	1222	5047
195	1225	5025
196	1228	5008
197	1231	4986
198	1233	4965
199	1236	4944
200	1238	4923
201	1240	4902
202	1244	4885
203	1246	4865
204	1250	4851
205	1253	4831
206	1256	4811
207	1261	4804
208	1263	4783
209	1266	4764
210	1269	4745
211	1272	4728
212	1274	4710
213	1277	4691
214	1279	4671
215	1281	4652
216	1296	4678
217	1299	4662
218	1301	4642
219	1304	4625
220	1306	4606
221	1309	4587
222	1311	4568
223	1313	4551
224	1315	4532
225	1318	4516
226	1321	4498
227	1323	4480
228	1325	4462
229	1327	4445
230	1337	4451
231	1339	4434
232	1342	4417
233	1344	4400
234	1346	4383
235	1349	4369
236	1351	4352
237	1354	4335
238	1356	4318
239	1358	4302
240	1362	4292
241	1365	4277
242	1374	4283
243	1379	4275
244	1382	4259
245	1384	4243
246	1388	4233
247	1397	4237
248	1399	4221
249	1402	4206
250	1404	4191
251	1407	4178
252	1412	4171
253	1415	4156
254	1418	4144
255	1423	4135
256	1427	4126
257	1432	4119
258	1435	4107
259	1437	4092
260	1441	4082
261	1444	4069
262	1446	4054
263	1449	4039
264	1451	4024
265	1453	4010
266	1457	4000
267	1464	3998
268	1467	3986
269	1469	3972
270	1475	3968
271	1477	3954
272	1479	3940
273	1482	3927
274	1484	3914
275	1489	3907
276	1492	3894
277	1495	3884
278	1498	3871
279	1504	3868
280	1507	3858
281	1510	3846
282	1513	3833
283	1528	3854
284	1531	3843
285	1537	3837
286	1539	3824
287	1542	3812
288	1544	3800
289	1547	3788
290	1551	3780
291	1558	3778
292	1564	3775
293	1570	3772
294	1573	3761
295	1621	3856
296	1624	3844
297	1626	3832
298	1631	3824
299	1633	3812
300	1636	3800
301	1639	3788
302	1671	3844
303	1676	3838
304	1678	3825
305	1681	3812
306	1683	3800
307	1685	3787
308	1688	3775
309	1693	3770
310	1696	3757
311	1698	3745
312	1701	3734
313	1703	3722
314	1727	3757
315	1730	3744
316	1732	3732
317	1735	3721
318	1740	3714
319	1743	3704
320	1745	3691
321	1747	3680
322	1764	3698
323	1767	3687
324	1771	3679
325	1776	3672
326	1779	3662
327	1781	3650
328	1784	3639
329	1789	3632
330	1792	3622
331	1794	3611
332	1797	3600
333	1799	3588
334	1804	3581
335	1808	3573
336	1810	3562
337	1813	3550
338	1821	3551
339	1823	3540
340	1826	3529
341	1829	3519
342	1831	3508
343	1839	3508
344	1842	3497
345	1847	3491
346	1849	3481
347	1855	3476
348	1858	3467
349	1866	3466
350	1868	3455
351	1883	3466
352	1892	3469
353	1896	3459
354	1898	3449
355	1917	3468
356	1931	3478
357	1933	3468
358	1944	3472
359	1948	3463
360	1958	3466
361	1961	3456
362	1964	3447
363	1967	3437
364	1971	3430
365	1973	3419
366	1977	3410
367	1980	3400
368	1982	3390
369	1988	3385
370	1990	3374
371	1992	3364
372	1996	3356
373	1999	3346
374	2006	3344
375	2016	3346
376	2019	3336
377	2021	3326
378	2024	3317
379	2027	3307
380	2035	3306
381	2038	3297
382	2040	3287
383	2043	3278
384	2048	3272
385	2050	3262
386	2053	3252
387	2055	3242
388	2058	3233
389	2063	3227
390	2065	3217
391	2068	3208
392	2071	3199
393	2073	3189
394	2079	3185
395	2081	3175
396	2085	3166
397	2087	3157
398	2089	3147
399	2102	3153
400	2105	3144
401	2109	3138
402	2112	3129
403	2114	3119
404	2116	3109
405	2120	3102
